"ID of id","kind","ID of col2"
4199,3,4197
4201,3,4200
4203,3,4202
4205,3,4204
4207,3,4206
4210,3,4208
4212,3,4211
4214,3,4213
4216,3,4215
4218,3,4217
4220,3,4219
4227,4,4225
4230,4,4228
4233,4,4231
4236,4,4234
4239,4,4237
4242,4,4240
4245,4,4243
4248,4,4246
4251,4,4249
4254,4,4252
4257,4,4255
4260,4,4258
4263,4,4261
4266,4,4264
4270,3,4269
4278,3,4276
4282,3,4280
4284,3,4283
4285,3,4274
4289,3,4288
4292,3,4291
4299,3,4298
4302,3,4301
4304,3,4303
4305,3,4296
4309,3,4308
4313,3,4312
4318,3,4317
4326,3,4324
4327,3,4323
4328,3,4322
4331,5,4330
4334,3,4333
4338,3,4337
4339,5,4336
4344,3,4343
4345,3,4342
4349,3,4348
4350,3,4347
4352,3,4351
4354,3,4353
4359,3,4358
4360,3,4357
4365,3,4364
4370,3,4369
4375,3,4374
4381,3,4379
4386,3,4385
4387,3,4384
4388,3,4383
4392,5,4391
4396,3,4395
4401,3,4400
4413,3,4411
4414,3,4410
4417,3,4416
4424,3,4423
4429,5,4427
4434,3,4432
4444,3,4442
4445,3,4441
4446,3,4440
4449,3,4448
4454,3,4453
4455,3,4452
4462,3,4461
4463,3,4460
4464,3,4459
4469,3,4468
4470,3,4467
4471,3,4466
4473,3,4472
4476,5,4475
4482,3,4481
4483,3,4480
4484,3,4479
4487,3,4486
4492,3,4491
4497,3,4495
4500,3,4499
4503,5,4501
4510,3,4508
4511,3,4507
4516,3,4515
4517,3,4514
4520,5,4519
4523,3,4522
4527,3,4526
4531,3,4530
4533,5,4529
4536,3,4535
4540,3,4539
4544,3,4543
4546,5,4542
4550,3,4549
4552,3,4548
4555,5,4554
4560,3,4559
4561,3,4558
4565,3,4564
4569,5,4567
4574,3,4573
4575,3,4572
4579,3,4578
4581,3,4577
4583,3,4582
4587,3,4586
4589,5,4585
4593,3,4592
4595,3,4591
4599,5,4597
4604,3,4603
4605,3,4602
4608,3,4607
4614,5,4612
4617,5,4615
4620,5,4618
4621,5,4610
4628,3,4627
4633,3,4632
4636,3,4635
4648,3,4647
4654,3,4652
4658,3,4657
4663,3,4662
4665,3,4661
4668,5,4667
4675,3,4674
4680,3,4679
4684,3,4683
4691,3,4689
4692,3,4688
4698,3,4697
4701,3,4699
4707,3,4706
4712,3,4711
4714,3,4710
4717,5,4716
4720,3,4719
4724,3,4723
4725,5,4722
4730,3,4728
4736,3,4735
4738,3,4737
4740,3,4739
4744,3,4743
4745,5,4742
4752,3,4751
4753,3,4750
4756,3,4755
4761,3,4760
4771,3,4770
4772,3,4769
4776,3,4767
4777,3,4766
4781,3,4764
4784,5,4783
4791,3,4790
4792,3,4789
4795,3,4794
4800,3,4799
4807,3,4805
4808,3,4804
4811,3,4810
4813,3,4812
4815,3,4814
4819,3,4818
4822,5,4821
4828,3,4826
4834,3,4833
4837,5,4836
4842,3,4840
4846,3,4845
4849,3,4848
4852,3,4851
4856,5,4854
4860,3,4859
4865,3,4864
4872,3,4871
4873,3,4870
4874,3,4869
4877,3,4876
4881,3,4880
4885,3,4884
4887,5,4883
4893,3,4892
4894,3,4891
4897,3,4896
4900,5,4899
4903,3,4902
4907,3,4906
4909,5,4905
4914,3,4912
4918,3,4917
4922,3,4921
4923,5,4920
4929,3,4928
4930,3,4927
4931,3,4926
4935,3,4934
4936,3,4933
4940,3,4939
4941,5,4938
4947,3,4946
4948,3,4945
4949,3,4944
4953,3,4952
4954,3,4951
4958,3,4957
4959,3,4956
4964,3,4963
4965,3,4962
4966,3,4961
4970,3,4969
4971,3,4968
4977,3,4976
4978,3,4975
4982,3,4981
4983,3,4980
4985,3,4984
4987,3,4986
4991,3,4990
4998,3,4997
4999,3,4996
5000,3,4995
5003,3,5002
5007,3,5006
5008,3,5005
5013,3,5012
5014,3,5011
5015,5,5010
5022,3,5021
5023,3,5020
5028,3,5027
5029,3,5026
5040,4,5038
5046,3,5045
5047,3,5044
5052,3,5051
5053,5,5050
5060,3,5059
5061,3,5058
5066,3,5065
5067,3,5064
5072,3,5071
5073,5,5070
5078,3,5077
5079,3,5076
5082,3,5081
5084,3,5083
5086,3,5085
5090,5,5088
