"ID of id","ID of col1","idx"
4196,4195,1
4279,4275,3
4300,4297,3
4316,4311,4
4329,4320,2
4335,4332,2
4346,4341,3
4363,4356,4
4373,4368,4
4382,4378,3
4390,4377,2
4399,4394,4
4415,4409,3
4426,4419,2
4447,4439,3
4465,4458,3
4474,4457,2
4485,4478,3
4498,4494,3
4512,4506,3
4518,4505,2
4528,4525,2
4541,4538,2
4553,4547,2
4562,4557,3
4566,4556,2
4576,4571,3
4584,4570,2
4596,4590,2
4606,4601,3
4609,4600,2
4611,4610,2
4625,4623,3
4631,4626,4
4639,4634,4
4645,4643,3
4651,4646,4
4666,4660,2
4672,4670,3
4678,4673,4
4693,4687,3
4715,4709,2
4721,4718,2
4731,4727,3
4734,4732,3
4741,4726,2
4749,4747,3
4759,4754,4
4773,4768,3
4778,4765,3
4782,4763,2
4788,4786,3
4798,4793,4
4809,4803,3
4820,4817,2
4829,4825,3
4835,4824,2
4853,4838,2
4863,4858,4
4875,4868,3
4882,4879,2
4895,4890,3
4898,4889,2
4904,4901,2
4919,4910,2
4932,4925,3
4937,4924,2
4950,4943,3
4960,4955,3
4979,4974,3
5001,4994,3
5009,5004,2
5049,5016,2
5069,5054,2
5080,5075,3
5087,4193,2
