"ID of node","ID of scope"
4212,4207
4213,4207
4218,4216
4221,4216
4224,4216
4228,4216
4229,4216
4230,4216
4231,4216
4232,4216
4233,4216
4234,4216
4238,4216
4241,4216
4245,4216
4247,4216
4250,4216
4252,4216
4253,4216
4255,4216
4258,4216
4260,4216
4261,4216
4262,4216
4263,4216
4264,4216
4270,4216
4271,4216
4272,4216
4273,4216
4274,4216
4275,4216
4280,4216
4283,4216
4284,4216
4289,4216
4290,4216
4294,4216
4297,4216
4298,4216
4299,4216
4300,4216
4304,4216
4305,4216
4306,4216
4311,4216
4314,4216
4315,4216
4318,4216
4319,4216
4320,4216
4324,4216
4327,4216
4330,4216
4331,4216
4335,4216
4336,4216
4337,4216
4338,4216
4339,4216
4344,4216
4345,4216
4350,4216
4353,4207
